image,x,y,r,g,b
ir,5,5,255,255,255
ir,5,6,255,255,255
ir,5,7,255,255,255
ir,5,8,218,0,0
ir,5,9,218,0,0
ir,5,10,218,0,0
ir,6,1,35,159,64
ir,6,2,35,159,64
ir,6,3,35,159,64
ir,6,4,255,255,255
ir,6,5,224,44,44
ir,6,6,255,255,255
ir,6,7,255,255,255
ir,6,8,218,0,0
ir,6,9,218,0,0
ir,6,10,218,0,0
ir,7,1,35,159,64
ir,7,2,35,159,64
ir,7,3,35,159,64
ir,7,4,255,255,255
ir,7,5,255,255,255
ir,7,6,255,255,255
ir,7,7,255,255,255
ir,7,8,218,0,0
ir,7,9,218,0,0
ir,7,10,218,0,0
ir,8,1,35,159,64
ir,8,2,35,159,64
ir,8,3,35,159,64
ir,8,4,255,255,255
ir,8,5,255,255,255
ir,8,6,255,255,255
ir,8,7,255,255,255
ir,8,8,218,0,0
ir,8,9,218,0,0
ir,8,10,218,0,0
ir,9,1,35,159,64
ir,9,2,35,159,64
ir,9,3,35,159,64
ir,9,4,255,255,255
ir,9,5,255,255,255
ir,9,6,255,255,255
ir,9,7,255,255,255
ir,9,8,218,0,0
ir,9,9,218,0,0
ir,9,10,218,0,0
ir,10,1,35,159,64
ir,10,2,35,159,64
ir,10,3,35,159,64
ir,10,4,255,255,255
ir,10,5,255,255,255
ir,10,6,255,255,255
ir,10,7,255,255,255
ir,10,8,218,0,0
ir,10,9,218,0,0
ir,10,10,218,0,0
bo,1,1,213,43,30
bo,1,2,213,43,30
bo,1,3,213,43,30
bo,1,4,249,227,0
bo,1,5,249,227,0
bo,1,6,249,227,0
bo,1,7,249,227,0
bo,1,8,0,121,52
bo,1,9,0,121,52
bo,1,10,0,121,52
bo,2,1,213,43,30
bo,2,2,213,43,30
bo,2,3,213,43,30
bo,2,4,249,227,0
bo,2,5,249,227,0
bo,2,6,249,227,0
bo,2,7,249,227,0
bo,2,8,0,121,52
bo,2,9,0,121,52
bo,2,10,0,121,52
bo,3,1,213,43,30
bo,3,2,213,43,30
bo,3,3,213,43,30
bo,3,4,249,227,0
